"IFBL";"jaar";"group_"
"c6-11-42";"1.00000000";"molincae"
"c1-15-23";"2.00000000";"ammopare"
"c1-16-13";"4.00000000";"ammopare"
"c1-16-23";"1.00000000";"coronsqu"
"c2-11-24";"3.00000000";"astertri"
"c2-15-14";"4.00000000";"coronsqu"
"c3-11-14";"2.00000000";"filipulm"
"c3-13-23";"4.00000000";"coronsqu"
"c4-15-13";"4.00000000";"astertri"
"c4-16-23";"1.00000000";"astertri"
"c5-17-23";"4.00000000";"molincae"
"c6-16-14";"2.00000000";"molincae"
"c1-15-22";"3.00000000";"ammopare"
"c1-16-11";"5.00000000";"ammopare"
"c2-18-12";"3.00000000";"coronsqu"
"c3-12-11";"5.00000000";"coronsqu"
"c4-15-11";"3.00000000";"astertri"
"c4-15-21";"5.00000000";"astertri"
"c4-15-22";"5.00000000";"astertri"
"c4-16-11";"5.00000000";"astertri"
"c4-17-11";"5.00000000";"astertri"
"b4-52-34";"1.00000000";"coronsqu"
"b4-53-44";"2.00000000";"astertri"
"b4-56-34";"5.00000000";"buddldav"
"b1-57-31";"3.00000000";"ammopare"
"b1-57-42";"2.00000000";"coronsqu"
"b4-55-41";"2.00000000";"astertri"
"b4-56-31";"4.00000000";"astertri"
"b4-56-41";"3.00000000";"astertri"
"b1-57-13";"1.00000000";"ammopare"
"b1-57-14";"2.00000000";"ammopare"
"b1-58-13";"3.00000000";"coronsqu"
"b2-51-13";"3.00000000";"coronsqu"
"b4-55-14";"2.00000000";"astertri"
"b6-52-14";"3.00000000";"molincae"
"b1-57-12";"4.00000000";"ammopare"
"b1-57-22";"4.00000000";"coronsqu"
"b2-52-11";"2.00000000";"astertri"
"b2-53-12";"3.00000000";"coronsqu"
"b5-51-11";"4.00000000";"molincae"
"b1-47-43";"5.00000000";"ammopare"
"b4-44-43";"2.00000000";"astertri"
"b4-45-33";"3.00000000";"astertri"
"b4-45-43";"4.00000000";"astertri"
"b4-46-34";"5.00000000";"loliumul"
"b5-43-44";"4.00000000";"molincae"
"b5-46-44";"4.00000000";"molincae"
"b5-47-43";"5.00000000";"molincae"
"b6-44-44";"1.00000000";"molincae"
"b2-41-42";"2.00000000";"astertri"
"b4-45-31";"3.00000000";"astertri"
"b4-45-32";"3.00000000";"astertri"
"b1-48-24";"3.00000000";"ammopare"
"b2-41-13";"4.00000000";"ammopare"
"b2-41-14";"4.00000000";"astertri"
"b2-41-23";"1.00000000";"astertri"
"b2-44-13";"1.00000000";"coronsqu"
"b2-41-12";"2.00000000";"astertri"
"b2-41-22";"4.00000000";"ammopare"
"b2-43-21";"1.00000000";"ammopare"
"b4-43-21";"5.00000000";"coronsqu"
"b2-32-33";"1.00000000";"ammopare"
"b2-32-43";"3.00000000";"ammopare"
"b2-33-43";"2.00000000";"ammopare"
"b2-33-44";"5.00000000";"ammopare"
"b2-34-43";"2.00000000";"coronsqu"
"b2-33-32";"1.00000000";"ammopare"
"b2-33-41";"5.00000000";"ammopare"
"b2-33-42";"4.00000000";"ammopare"
"b6-31-31";"5.00000000";"molincae"
"b2-34-14";"4.00000000";"ammopare"
"b4-33-24";"5.00000000";"astertri"
"b5-35-13";"2.00000000";"filipulm"
"b5-25-11";"5.00000000";"molincae"
"b5-14-24";"1.00000000";"molincae"
