"IFBL";"jaar";"group_"
"f3-27-11";"4.00000000";"loliumul"
"f3-17-13";"4.00000000";"loliumul"
"f4-15-23";"5.00000000";"primuela"
"f1-12-22";"5.00000000";"coronsqu"
"f2-18-22";"2.00000000";"loliumul"
"f4-13-12";"2.00000000";"loliumul"
"f4-16-11";"5.00000000";"buddldav"
"e4-55-44";"3.00000000";"primuela"
"e7-57-34";"4.00000000";"primuela"
"e4-53-41";"1.00000000";"buddldav"
"e4-56-32";"3.00000000";"primuela"
"e7-55-14";"5.00000000";"euphoesu"
"e1-58-22";"5.00000000";"loliumul"
"e3-56-12";"2.00000000";"primuela"
"e4-58-11";"5.00000000";"primuela"
"e5-56-22";"3.00000000";"primuela"
"e6-55-22";"3.00000000";"primuela"
"e7-52-11";"4.00000000";"primuela"
"e3-48-33";"4.00000000";"primuela"
"e4-43-33";"3.00000000";"primuela"
"e4-44-34";"3.00000000";"buddldav"
"e4-47-34";"2.00000000";"primuela"
"e5-42-33";"4.00000000";"primuela"
"e5-46-43";"2.00000000";"buddldav"
"e1-46-41";"4.00000000";"buddldav"
"e2-47-31";"3.00000000";"primuela"
"e3-42-41";"2.00000000";"primuela"
"e3-44-31";"3.00000000";"primuela"
"e5-46-42";"5.00000000";"primuela"
"e6-47-31";"1.00000000";"primuela"
"e1-45-13";"3.00000000";"loliumul"
"e6-46-14";"1.00000000";"primuela"
"e6-48-24";"1.00000000";"primuela"
"e2-42-12";"4.00000000";"buddldav"
"e2-47-11";"4.00000000";"filipulm"
"e2-48-12";"5.00000000";"primuela"
"e4-46-21";"4.00000000";"buddldav"
"e7-44-11";"4.00000000";"primuela"
"e2-33-33";"5.00000000";"filipulm"
"e2-37-34";"2.00000000";"filipulm"
"e3-31-33";"4.00000000";"primuela"
"e4-36-33";"1.00000000";"primuela"
"e4-36-34";"2.00000000";"buddldav"
"e6-38-43";"5.00000000";"astertri"
"e7-35-33";"5.00000000";"primuela"
"e2-34-32";"4.00000000";"loliumul"
"e3-37-32";"5.00000000";"filipulm"
"e5-38-41";"1.00000000";"loliumul"
"e7-31-32";"3.00000000";"primuela"
"e7-35-31";"2.00000000";"buddldav"
"e2-31-24";"4.00000000";"buddldav"
"e4-35-23";"4.00000000";"buddldav"
"e2-37-12";"2.00000000";"loliumul"
"e5-31-22";"5.00000000";"primuela"
"e6-36-22";"1.00000000";"euphoesu"
"e1-24-33";"2.00000000";"coronsqu"
"e1-28-33";"1.00000000";"loliumul"
"e4-25-43";"1.00000000";"buddldav"
"e4-27-43";"1.00000000";"buddldav"
"e5-23-44";"2.00000000";"primuela"
"e0-28-31";"3.00000000";"loliumul"
"e2-24-41";"2.00000000";"loliumul"
"e6-26-42";"4.00000000";"filipulm"
"e1-21-14";"2.00000000";"coronsqu"
"e2-28-24";"5.00000000";"buddldav"
"e4-24-24";"1.00000000";"primuela"
"e4-25-24";"1.00000000";"astertri"
"e5-22-14";"5.00000000";"primuela"
"e5-23-24";"3.00000000";"buddldav"
"e5-28-24";"2.00000000";"primuela"
"e6-25-23";"3.00000000";"primuela"
"e7-22-13";"4.00000000";"primuela"
"e2-25-22";"1.00000000";"primuela"
"e3-22-12";"1.00000000";"filipulm"
"e3-24-11";"1.00000000";"filipulm"
"e1-12-34";"5.00000000";"loliumul"
"e1-13-43";"1.00000000";"loliumul"
"e2-14-43";"2.00000000";"loliumul"
"e3-11-34";"4.00000000";"filipulm"
"e4-11-33";"2.00000000";"filipulm"
"e7-13-44";"2.00000000";"euphoesu"
"e1-12-41";"4.00000000";"loliumul"
"e3-12-42";"3.00000000";"loliumul"
"e3-15-31";"2.00000000";"loliumul"
"e4-16-31";"2.00000000";"buddldav"
"e5-18-31";"4.00000000";"primuela"
"e6-16-42";"1.00000000";"primuela"
"e7-15-31";"1.00000000";"euphoesu"
"e1-12-14";"1.00000000";"loliumul"
"e3-18-24";"5.00000000";"filipulm"
"e4-17-13";"2.00000000";"buddldav"
"e5-16-14";"1.00000000";"filipulm"
"e6-16-14";"5.00000000";"filipulm"
"e7-15-13";"5.00000000";"euphoesu"
"e2-14-12";"1.00000000";"buddldav"
"e2-15-12";"1.00000000";"filipulm"
"e4-15-21";"1.00000000";"buddldav"
"e5-18-12";"2.00000000";"primuela"
"e7-15-11";"3.00000000";"euphoesu"
"e7-15-12";"3.00000000";"euphoesu"
"d1-52-43";"5.00000000";"loliumul"
"d2-52-44";"4.00000000";"filipulm"
"d2-55-34";"3.00000000";"filipulm"
"d2-57-34";"5.00000000";"loliumul"
"d3-58-34";"5.00000000";"filipulm"
"d5-54-34";"2.00000000";"primuela"
"d6-57-43";"5.00000000";"primuela"
"d7-55-34";"4.00000000";"euphoesu"
"d7-55-43";"3.00000000";"euphoesu"
"d7-55-44";"5.00000000";"euphoesu"
"d1-55-32";"2.00000000";"coronsqu"
"d1-58-32";"4.00000000";"buddldav"
"d2-51-42";"4.00000000";"filipulm"
"d3-53-32";"4.00000000";"loliumul"
"d3-54-31";"2.00000000";"primuela"
"d3-58-32";"4.00000000";"filipulm"
"d5-51-31";"2.00000000";"primuela"
"d5-54-31";"5.00000000";"loliumul"
"d7-55-41";"2.00000000";"euphoesu"
"d0-57-14";"5.00000000";"coronsqu"
"d2-55-24";"1.00000000";"filipulm"
"d3-54-24";"1.00000000";"primuela"
"d4-53-13";"1.00000000";"primuela"
"d4-57-14";"4.00000000";"buddldav"
"d5-56-24";"4.00000000";"primuela"
"d7-54-23";"5.00000000";"molincae"
"d7-55-24";"4.00000000";"euphoesu"
"d0-57-21";"1.00000000";"coronsqu"
"d1-58-21";"1.00000000";"buddldav"
"d7-53-11";"2.00000000";"euphoesu"
"d7-56-11";"5.00000000";"euphoesu"
"d0-47-44";"2.00000000";"coronsqu"
"d1-45-33";"1.00000000";"loliumul"
"d1-48-43";"5.00000000";"buddldav"
"d3-44-34";"1.00000000";"primuela"
"d5-45-43";"5.00000000";"molincae"
"d7-46-33";"4.00000000";"euphoesu"
"d1-48-32";"3.00000000";"buddldav"
"d2-44-42";"1.00000000";"loliumul"
"d3-41-31";"2.00000000";"filipulm"
"d3-45-32";"3.00000000";"loliumul"
"d3-47-32";"5.00000000";"filipulm"
"d4-47-41";"5.00000000";"buddldav"
"d6-43-41";"1.00000000";"filipulm"
"d7-45-42";"5.00000000";"euphoesu"
"d7-46-32";"3.00000000";"euphoesu"
"d0-47-24";"1.00000000";"coronsqu"
"d1-42-13";"3.00000000";"coronsqu"
"d2-42-13";"1.00000000";"filipulm"
"d3-44-24";"2.00000000";"filipulm"
"d3-45-13";"5.00000000";"filipulm"
"d4-45-13";"2.00000000";"primuela"
"d4-47-23";"3.00000000";"loliumul"
"d7-45-23";"1.00000000";"euphoesu"
"d7-45-24";"2.00000000";"euphoesu"
"d0-48-21";"3.00000000";"coronsqu"
"d3-42-21";"3.00000000";"filipulm"
"d3-43-21";"3.00000000";"buddldav"
"d6-43-22";"3.00000000";"molincae"
"d7-45-21";"5.00000000";"euphoesu"
"d7-45-22";"2.00000000";"euphoesu"
"d1-31-33";"4.00000000";"coronsqu"
"d1-31-34";"5.00000000";"coronsqu"
"d2-37-33";"4.00000000";"buddldav"
"d2-38-33";"1.00000000";"filipulm"
"d3-35-43";"5.00000000";"primuela"
"d5-32-33";"3.00000000";"filipulm"
"d5-36-34";"4.00000000";"loliumul"
"d7-35-44";"5.00000000";"euphoesu"
"d7-36-33";"4.00000000";"euphoesu"
"d0-37-32";"2.00000000";"coronsqu"
"d0-37-42";"1.00000000";"loliumul"
"d2-31-41";"4.00000000";"loliumul"
"d2-34-31";"3.00000000";"loliumul"
"d3-31-32";"3.00000000";"buddldav"
"d4-37-42";"3.00000000";"buddldav"
"d5-33-31";"3.00000000";"molincae"
"d7-36-32";"4.00000000";"euphoesu"
"d1-38-23";"3.00000000";"molincae"
"d2-34-13";"3.00000000";"loliumul"
"d2-36-14";"3.00000000";"loliumul"
"d7-32-23";"4.00000000";"astertri"
"d7-36-14";"2.00000000";"euphoesu"
"d1-36-12";"1.00000000";"loliumul"
"d3-32-22";"5.00000000";"buddldav"
"d5-38-22";"2.00000000";"molincae"
"d6-32-21";"4.00000000";"molincae"
"d6-37-21";"3.00000000";"primuela"
"d7-32-21";"1.00000000";"astertri"
"d7-36-11";"3.00000000";"euphoesu"
"d7-36-21";"1.00000000";"euphoesu"
"d0-27-33";"4.00000000";"coronsqu"
"d1-27-44";"4.00000000";"loliumul"
"d2-22-34";"4.00000000";"loliumul"
"d3-22-43";"5.00000000";"buddldav"
"d3-25-34";"5.00000000";"loliumul"
"d7-26-34";"1.00000000";"euphoesu"
"d7-26-43";"3.00000000";"euphoesu"
"d0-27-41";"2.00000000";"coronsqu"
"d1-21-31";"5.00000000";"coronsqu"
"d2-25-42";"5.00000000";"loliumul"
"d3-22-32";"5.00000000";"buddldav"
"d6-27-32";"4.00000000";"astertri"
"d7-26-41";"3.00000000";"euphoesu"
"d0-28-24";"4.00000000";"coronsqu"
"d1-22-13";"1.00000000";"coronsqu"
"d2-28-23";"4.00000000";"filipulm"
"d3-22-23";"1.00000000";"buddldav"
"d7-26-13";"1.00000000";"euphoesu"
"d0-27-21";"2.00000000";"coronsqu"
"d0-27-22";"5.00000000";"coronsqu"
"d1-21-11";"4.00000000";"coronsqu"
"d2-24-12";"2.00000000";"filipulm"
"d2-24-22";"1.00000000";"loliumul"
"d2-26-21";"1.00000000";"molincae"
"d2-27-22";"5.00000000";"filipulm"
"d3-21-22";"3.00000000";"filipulm"
"d3-23-11";"1.00000000";"buddldav"
"d4-25-12";"3.00000000";"loliumul"
"d6-22-12";"2.00000000";"molincae"
"d6-26-11";"1.00000000";"molincae"
"d7-26-12";"2.00000000";"euphoesu"
"d1-11-33";"3.00000000";"coronsqu"
"d3-12-34";"4.00000000";"buddldav"
"d3-12-44";"2.00000000";"buddldav"
"d4-15-44";"5.00000000";"astertri"
"d4-16-44";"2.00000000";"filipulm"
"d7-16-43";"3.00000000";"euphoesu"
"d0-16-42";"4.00000000";"coronsqu"
"d1-14-32";"2.00000000";"loliumul"
"d2-14-31";"3.00000000";"filipulm"
"d2-14-42";"3.00000000";"filipulm"
"d2-15-41";"2.00000000";"loliumul"
"d3-12-42";"2.00000000";"buddldav"
"d4-18-31";"2.00000000";"molincae"
"d6-15-31";"3.00000000";"astertri"
"d7-16-32";"1.00000000";"euphoesu"
"d7-16-41";"4.00000000";"euphoesu"
"d7-16-42";"2.00000000";"euphoesu"
"d7-17-31";"3.00000000";"euphoesu"
"d0-16-14";"2.00000000";"ammopare"
"d0-17-24";"3.00000000";"coronsqu"
"d1-14-23";"4.00000000";"primuela"
"d3-17-14";"4.00000000";"loliumul"
"d5-12-24";"2.00000000";"molincae"
"d5-16-24";"5.00000000";"molincae"
"d5-17-24";"2.00000000";"molincae"
"d6-13-24";"3.00000000";"molincae"
"d7-16-24";"3.00000000";"euphoesu"
"d7-17-13";"1.00000000";"euphoesu"
"d0-16-11";"3.00000000";"ammopare"
"d0-16-12";"1.00000000";"ammopare"
"d0-16-22";"5.00000000";"astertri"
"d1-17-12";"1.00000000";"buddldav"
"d3-11-21";"3.00000000";"buddldav"
"d3-16-11";"1.00000000";"loliumul"
"d4-12-22";"3.00000000";"filipulm"
"d7-16-12";"2.00000000";"molincae"
"d7-16-22";"4.00000000";"euphoesu"
"d7-17-11";"4.00000000";"euphoesu"
"c0-56-34";"3.00000000";"ammopare"
"c0-56-43";"1.00000000";"ammopare"
"c0-56-44";"3.00000000";"ammopare"
"c1-53-44";"5.00000000";"coronsqu"
"c2-55-43";"2.00000000";"filipulm"
"c2-55-44";"2.00000000";"loliumul"
"c3-52-33";"2.00000000";"astertri"
"c4-55-43";"1.00000000";"astertri"
"c4-58-33";"2.00000000";"buddldav"
"c7-56-44";"5.00000000";"euphoesu"
"c0-56-31";"3.00000000";"ammopare"
"c0-56-32";"3.00000000";"ammopare"
"c0-57-31";"2.00000000";"ammopare"
"c0-57-32";"2.00000000";"ammopare"
"c0-57-41";"3.00000000";"ammopare"
"c1-51-31";"4.00000000";"coronsqu"
"c3-53-42";"3.00000000";"filipulm"
"c4-54-42";"1.00000000";"astertri"
"c7-53-41";"4.00000000";"molincae"
"c7-57-41";"5.00000000";"euphoesu"
"c0-57-23";"4.00000000";"ammopare"
"c2-54-13";"1.00000000";"molincae"
"c2-54-14";"3.00000000";"molincae"
"c2-54-24";"1.00000000";"buddldav"
"c3-53-24";"2.00000000";"astertri"
"c5-55-23";"5.00000000";"molincae"
"c5-58-13";"1.00000000";"molincae"
"c6-55-14";"2.00000000";"molincae"
"c7-57-14";"1.00000000";"euphoesu"
"c7-57-23";"4.00000000";"euphoesu"
"c0-57-21";"4.00000000";"ammopare"
"c0-57-22";"5.00000000";"ammopare"
"c0-58-12";"1.00000000";"coronsqu"
"c0-58-21";"3.00000000";"coronsqu"
"c3-51-21";"3.00000000";"buddldav"
"c5-52-21";"3.00000000";"filipulm"
"c5-58-21";"4.00000000";"molincae"
"c0-48-33";"5.00000000";"ammopare"
"c0-48-44";"1.00000000";"ammopare"
"c1-43-34";"4.00000000";"coronsqu"
"c3-43-44";"4.00000000";"astertri"
"c4-44-33";"1.00000000";"filipulm"
"c5-44-43";"1.00000000";"molincae"
"c0-48-31";"5.00000000";"ammopare"
"c0-48-41";"2.00000000";"ammopare"
"c0-48-42";"4.00000000";"ammopare"
"c1-41-31";"5.00000000";"ammopare"
"c1-45-42";"3.00000000";"loliumul"
"c2-48-32";"5.00000000";"loliumul"
"c5-43-32";"3.00000000";"molincae"
"c7-47-32";"4.00000000";"euphoesu"
"c7-47-41";"2.00000000";"euphoesu"
"c7-47-42";"1.00000000";"euphoesu"
"c1-42-14";"5.00000000";"coronsqu"
"c1-45-23";"1.00000000";"coronsqu"
"c2-45-24";"4.00000000";"molincae"
"c5-42-23";"1.00000000";"molincae"
"c6-44-13";"4.00000000";"molincae"
"c6-47-24";"1.00000000";"molincae"
"c7-41-23";"3.00000000";"molincae"
"c7-47-24";"2.00000000";"euphoesu"
"c1-41-11";"2.00000000";"ammopare"
"c1-41-12";"1.00000000";"ammopare"
"c1-41-21";"2.00000000";"ammopare"
"c2-43-11";"1.00000000";"filipulm"
"c4-43-22";"4.00000000";"filipulm"
"c4-44-11";"4.00000000";"filipulm"
"c4-45-11";"5.00000000";"filipulm"
"c1-37-34";"3.00000000";"buddldav"
"c2-34-33";"3.00000000";"buddldav"
"c4-38-33";"4.00000000";"buddldav"
"c7-35-44";"5.00000000";"molincae"
"c2-32-32";"4.00000000";"filipulm"
"c3-34-32";;"astertri"
"c5-32-42";"3.00000000";"filipulm"
"c5-36-41";"4.00000000";"molincae"
"c1-32-14";"1.00000000";"ammopare"
"c1-38-13";"2.00000000";"buddldav"
"c3-33-23";"4.00000000";"astertri"
"c3-33-24";"1.00000000";"astertri"
"c4-37-13";"5.00000000";"buddldav"
"c5-36-14";"2.00000000";"molincae"
"c1-32-21";"5.00000000";"ammopare"
"c1-33-12";"1.00000000";"coronsqu"
"c1-33-21";"5.00000000";"coronsqu"
"c2-32-12";"2.00000000";"buddldav"
"c4-34-12";"5.00000000";"filipulm"
"c4-36-11";"5.00000000";"buddldav"
"c1-23-33";"5.00000000";"ammopare"
"c1-23-34";"1.00000000";"ammopare"
"c1-23-41";"3.00000000";"coronsqu"
"c3-25-31";"2.00000000";"loliumul"
"c3-26-42";"2.00000000";"filipulm"
"c1-23-24";"2.00000000";"ammopare"
"c4-26-14";"2.00000000";"astertri"
"c5-21-14";"5.00000000";"primuela"
"c5-22-13";"3.00000000";"molincae"
"c2-25-22";"5.00000000";"loliumul"
"c4-26-12";"1.00000000";"astertri"
"c6-28-12";"5.00000000";"molincae"
"c7-21-11";"3.00000000";"molincae"
"c1-15-33";"4.00000000";"ammopare"
"c2-11-44";"5.00000000";"astertri"
"c3-13-43";"2.00000000";"coronsqu"
"c3-17-43";"2.00000000";"molincae"
"c4-13-44";"1.00000000";"astertri"
"c4-14-44";"3.00000000";"astertri"
"c4-15-33";"4.00000000";"astertri"
"c4-15-34";"1.00000000";"astertri"
"c4-16-33";"3.00000000";"astertri"
"c6-18-44";"5.00000000";"molincae"
"c4-11-41";"1.00000000";"coronsqu"
"c4-14-42";"5.00000000";"astertri"
"c4-16-41";"3.00000000";"astertri"
